code,industry,concepts,industry_rank,industry_change_pct,industry_heat_score,concept_heat_score,board_heat_score,board_heat_latest_score,board_heat_trend_score,board_heat_persistence_score,board_heat_cooling_score,board_heat_observations,board_heat_summary,board_heat_state
000338,汽车,数据中心|氢能源|智能驾驶|新能源车|燃料电池概念|节能环保|固态电池|电池技术|一带一路|央国企改革,,,,,,,,,,,,
000400,输变电设备,数据中心|抽水蓄能|电网概念|无线充电|特高压|一带一路|氢能源|光伏概念|可控核聚变|储能概念|央国企改革|智能电网|充电桩|换电概念,,,,,,,,,,,,
000401,水泥,央国企改革|京津冀|水利建设|雄安新区,,,,,,,,,,,,
000402,房地产开发,央国企改革|碳交易,,,,,,,,,,,,
000403,生物医药,央国企改革,,,,,,,,,,,,
000404,通用设备,央国企改革|新能源车|贬值受益|病毒防治|智能家居|节能环保|汽车热管理,,,,,,,,,,,,
000407,燃气,天然气|油气资源|并购重组概念,,,,,,,,,,,,
000408,化肥农药,央国企改革|电池技术|锂矿概念|西部大开发|小金属概念|锂电池概念,,,,,,,,,,,,
000409,互联网服务,卫星导航|央国企改革|数据中心|数据要素|多模态AI|人工智能|网络安全|工业互联网|互联网服务|物联网|华为概念,,,,,,,,,,,,
000410,通用设备,央国企改革|并购重组概念|工业互联网|工业母机|人工智能|东北振兴,,,,,,,,,,,,
000411,医药商业,央国企改革|冷链物流|数字经济|医美概念|创新医疗服务|长江三角|跨境电商|医疗器械概念|SPD概念,,,,,,,,,,,,
000415,非银行金融,低空经济|参股保险|滨海新区|西部大开发,,,,,,,,,,,,
000417,零售,央国企改革|预制菜概念|创投|食品安全|黄金概念|跨境电商|参股银行|冷链物流|新零售|地摊经济|退税商店|充电桩|首发经济|零售概念|乡村振兴,,,,,,,,,,,,
000419,零售,央国企改革|电商概念|新零售|参股银行,,,,,,,,,,,,
000420,合成纤维及树脂,冰雪经济|央国企改革|东北振兴|低空经济|碳纤维,,,,,,,,,,,,
000421,燃气,央国企改革|天然气|长江三角|充电桩|换电概念|油气资源,,,,,,,,,,,,
000422,化学原料,氟化工概念|化工原料|湖北自贸|磷化工|央国企改革|降解塑料|锂电池概念|并购重组概念|光刻胶|电池技术|煤化工概念,,,,,,,,,,,,
000423,中药生产,创投|电商概念|超级品牌|央国企改革|中药概念,,,,,,,,,,,,
000425,专用设备,机器人概念|央国企改革|人工智能|新能源车|雅下水电概念|军工|一带一路|工业互联网|乡村振兴|工程机械概念,,,,,,,,,,,,
000426,基本金属,小金属概念|西部大开发|黄金概念,,,,,,,,,,,,
000428,休闲服务,旅游酒店|央国企改革|参股保险|预制菜概念,,,,,,,,,,,,
000429,公路铁路,央国企改革|粤港自贸|参股券商,,,,,,,,,,,,
000430,休闲服务,旅游概念|元宇宙概念|旅游酒店|央国企改革|参股期货,,,,,,,,,,,,
000488,造纸印刷,碳交易|造纸印刷|央国企改革|区块链|EDA概念|参股银行,,,,,,,,,,,,
000498,基础建设,智慧城市|装配建筑|铁路基建|一带一路|央国企改革|PPP模式|工程建设,,,,,,,,,,,,
000501,零售,湖北自贸|黄金概念|白酒|首发经济|免税概念|跨境电商|零售概念|参股银行|阿里概念|冰雪经济|社区团购|地摊经济|央国企改革|电商概念|新零售,,,,,,,,,,,,
000503,计算机软件,互联网医疗|数据要素|AI制药（医疗）|SPD概念|电商概念|华为概念|创新医疗服务|央国企改革|DRG/DIP,,,,,,,,,,,,
000504,专业服务,免疫治疗|锂电池概念|医美概念|动力电池回收|央国企改革|节能环保|医疗器械概念,,,,,,,,,,,,
000505,农业,网红经济|海南自贸|调味品概念|生态农业|一带一路|央国企改革|新零售,,,,,,,,,,,,
000506,贵金属,央国企改革|小金属概念|黄金概念|一带一路,,,,,,,,,,,,
000507,电力,新能源|粤港自贸|北交所概念|央国企改革|油气资源|油气设服|天然气|一带一路|风能,,,,,,,,,,,,
000509,电子器件,西部大开发|碳交易|工业母机|互联网金融|成渝特区|央国企改革,,,,,,,,,,,,
000510,化学原料,西部大开发|小金属概念|成渝特区,,,,,,,,,,,,
000513,化学制药,精准医疗|创新药|病原体防治|基因测序|生物疫苗|幽门螺杆菌概念|减肥药|辅助生殖|单抗概念|中药概念|重组蛋白|流感,,,,,,,,,,,,
000514,房地产开发,央国企改革|成渝特区|一带一路|西部大开发|化债(AMC)概念,,,,,,,,,,,,
000516,医疗服务,免疫治疗|医美概念|创新医疗服务|脑机接口|西部大开发|新消费|CAR-T细胞疗法|互联网医疗|阿里概念|DeepSeek概念|辅助生殖|养老概念|华为概念|毛发医疗|AI制药（医疗）,,,,,,,,,,,,
000517,房地产开发,长江三角|建筑节能,,,,,,,,,,,,
000518,生物医药,人造肉|免疫治疗|长江三角|并购重组概念|病毒防治,,,,,,,,,,,,
000519,地面装备,商业航天|半导体概念|军工|军民融合|培育钻石|新材料|央国企改革|冷链物流,,,,,,,,,,,,
000520,港口航运,一带一路,,,,,,,,,,,,
000521,白色家电,电商概念|冷链物流|华为概念|垃圾分类|华为海思|人工智能|医疗器械概念|工业互联网|智能家居|一带一路|央国企改革|空气能热泵|新材料|阿里概念|物联网|百度概念|小米概念|净水概念,,,,,,,,,,,,
000523,食品,新零售|粤港自贸|代糖概念|央国企改革|啤酒概念,,,,,,,,,,,,
000524,休闲服务,旅游概念|预制菜概念|央国企改革|文娱消费|粤港自贸|新零售|免税概念|AI智能体|电商概念|零售概念|海南自贸|体育产业|冰雪经济|旅游酒店|低空经济,,,,,,,,,,,,
000525,化肥农药,央国企改革|草甘膦|维生素|一带一路|农药兽药|长江三角,,,,,,,,,,,,
000526,教育,人工智能|在线教育|半导体概念|职业教育|AI应用,,,,,,,,,,,,
000528,专用设备,央国企改革|西部大开发|核能核电|工程机械概念|一带一路|中俄贸易概念|机器人概念|雅下水电概念,,,,,,,,,,,,
000529,食品,央国企改革|鸡肉概念|预制菜概念|冷链物流|猪肉概念|粤港自贸,,,,,,,,,,,,
000530,通用设备,海工装备|核能核电|大数据|冷链物流|海洋经济|IPO受益|边缘计算|参股券商|汽车热管理|碳交易|物联网|冰雪经济|储能概念|体育产业|空气能热泵,,,,,,,,,,,,
000531,电力,燃料电池概念|氢能源|绿色电力|光伏概念|虚拟电厂|超超临界发电|电池技术|央国企改革|化债(AMC)概念|碳交易|储能概念,,,,,,,,,,,,
000532,非银行金融,独角兽|创投|参股券商|锂电池概念|央国企改革|被动元件概念|电池技术,,,,,,,,,,,,
000533,输变电设备,核能核电|抽水蓄能|阿里概念|电网概念|水利建设|参股保险|海洋经济|储能概念|海工装备|百度概念|新能源|数据中心|智能电网|光伏概念|可控核聚变,,,,,,,,,,,,
000534,生物医药,大飞机|低空经济|军工,,,,,,,,,,,,
000536,电子器件,OLED|华为概念|央国企改革|3D玻璃|玻璃基板|柔性屏(折叠屏)|荣耀概念|显示技术,,,,,,,,,,,,
000537,电力,储能概念|央国企改革|新能源|光伏概念|风能|滨海新区|绿色电力|成渝特区,,,,,,,,,,,,
000538,中药生产,医疗器械概念|独家药品|参股券商|工业大麻|跨境电商|特色药|超级品牌|中药概念|西部大开发,,,,,,,,,,,,
000539,电力,央国企改革|新能源|绿色电力|参股保险|风能|创投|光伏概念|北交所概念|超超临界发电,,,,,,,,,,,,
000541,照明设备,央国企改革|海洋经济|汽车芯片|华为汽车|智能家居|跨境电商|华为概念|参股银行|智慧灯杆|植物照明|半导体概念|LED概念|网红经济,,,,,,,,,,,,
000543,电力,抽水蓄能|核能核电|风能|天然气|央国企改革|可控核聚变|参股银行|IPO受益|新能源|超超临界发电|油气资源|煤化工概念|参股券商|碳交易|充电桩,,,,,,,,,,,,
000544,环保,央国企改革|光伏概念|PPP模式|参股银行|垃圾分类|节能环保|海南自贸,,,,,,,,,,,,
000545,化学原料,电池技术|锂电池概念|钛白粉概念,,,,,,,,,,,,
000546,环保,东北振兴|节能环保|锂矿概念|动力电池回收|锂电池概念|医废处理|电池技术,,,,,,,,,,,,
000547,地面装备,海工装备|商业航天|无人机|央国企改革|军工|通信技术|卫星互联网|军民融合|大数据|网络安全|国产芯片|虚拟现实|毫米波概念|信创|低空经济|5G概念|数据安全,,,,,,,,,,,,
000548,公路铁路,央国企改革|微盘股,,,,,,,,,,,,
000550,汽车,华为概念|汽车整车|华为汽车|地摊经济|央国企改革|新能源车|智能驾驶,,,,,,,,,,,,
000551,专用设备,智能驾驶|新能源|电网概念|参股银行|长江三角|半导体概念|商业航天|特高压|节能环保|工业气体|北交所概念|参股期货|特斯拉概念|氢能源|央国企改革|机器人概念|减速器|空气能热泵,,,,,,,,,,,,
000552,煤炭,央国企改革|煤化工概念|西部大开发,,,,,,,,,,,,
000553,化肥农药,央国企改革|草甘膦|农药兽药,,,,,,,,,,,,
000554,石油天然气,央国企改革|天然气|油气资源,,,,,,,,,,,,
000555,计算机软件,智慧城市|数字货币|物联网|区块链|量子科技|AIGC概念|数字经济|互联网金融|信创|数据要素|跨境支付|深圳特区|边缘计算|海南自贸|大数据|鸿蒙概念|人工智能|虚拟数字人|AI智能体|互联网服务|财税数字化|DeepSeek概念|华为概念|云计算|独角兽|国产软件|AI应用,,,,,,,,,,,,
000557,公路铁路,央国企改革|西部大开发,,,,,,,,,,,,
000558,影视动漫,创投|旅游概念|首发经济|户外露营|PPP模式|体育产业|冰雪经济|央国企改革|长江三角|影视概念|旅游酒店|西部大开发|谷子经济,,,,,,,,,,,,
000559,汽车,新能源车|工业互联网|锂电池概念|小米汽车|固态电池|人形机器人|新材料|低空经济|长江三角|并购重组概念|电池技术|机器人概念,,,,,,,,,,,,
000560,房地产服务,人工智能|AIGC概念|租售同权|西部大开发|鸿蒙概念|华为概念|数字经济,,,,,,,,,,,,
000561,通信设备,卫星导航|空间站概念|央国企改革|商业航天|军民融合|低空经济|大飞机|军工|西部大开发,,,,,,,,,,,,
000563,非银行金融,参股券商|央国企改革|参股银行|参股保险|化债(AMC)概念|西部大开发,,,,,,,,,,,,
000564,零售,跨境电商|社区团购|新零售|一带一路|谷子经济|网红经济|电商概念|粮食概念|乡村振兴|西部大开发|海南自贸|预制菜概念|百度概念|统一大市场|供销社概念,,,,,,,,,,,,
000565,化学制品,一带一路|石墨烯|氢能源|军工|西部大开发|央国企改革|成渝特区,,,,,,,,,,,,
000566,化学制药,医疗器械概念|参股银行|肝炎概念|病原体防治|流感|幽门螺杆菌概念|脑机接口|创投|生物疫苗|CAR-T细胞疗法|央国企改革|中药概念|单抗概念|创新药|维生素|互联网医疗|海南自贸,,,,,,,,,,,,
000567,非银行金融,钒电池|互联网金融|化债(AMC)概念|海南自贸|电池技术,,,,,,,,,,,,
000568,饮料,央国企改革|味蕾经济|IPO受益|成渝特区|超级品牌|白酒|酿酒概念|农业种植|参股券商|西部大开发,,,,,,,,,,,,
000570,通用设备,锂电池概念|乡村振兴|长江三角|央国企改革|参股银行|发电机概念|电池技术,,,,,,,,,,,,
000571,煤炭,大飞机|海南自贸|通用航空,,,,,,,,,,,,
000572,汽车,智能驾驶|新能源车|参股银行|共享经济|氢能源|婴童概念|车联网(车路云)|海南自贸|充电桩|汽车整车,,,,,,,,,,,,
000573,环保,微盘股|并购重组概念|创投,,,,,,,,,,,,
000576,电源设备,第三代半导体|半导体概念|军工|碳化硅,,,,,,,,,,,,
000581,汽车,节能环保|央国企改革|尾气治理|新能源车|参股保险|IGBT概念|氢能源|燃料电池概念|电池技术|机器人概念|参股券商|毫米波概念|汽车芯片|国产芯片|长江三角|轮毂电机|小米汽车,,,,,,,,,,,,
000582,港口航运,央国企改革|统一大市场|一带一路|西部大开发,,,,,,,,,,,,
000586,通信设备,西部大开发|光纤概念|成渝特区|特高压|智慧城市|电网概念,,,,,,,,,,,,
000589,橡胶制品,参股银行|胎压监测|央国企改革|西部大开发,,,,,,,,,,,,
000590,中药生产,养老概念|中药概念|微盘股|流感|病原体防治,,,,,,,,,,,,
000591,电源设备,央国企改革|智能电网|储能概念|钙钛矿电池|光伏概念|西部大开发|碳交易|新能源|机器人概念|绿色电力|成渝特区|TOPCon电池,,,,,,,,,,,,
000592,林业,合成生物|新材料,,,,,,,,,,,,
000593,燃气,青蒿素|成渝特区|储能概念|西部大开发|天然气|油气资源,,,,,,,,,,,,
000595,电力,光伏概念|西部大开发|绿色电力|储能概念|央国企改革,,,,,,,,,,,,
000596,饮料,央国企改革|白酒|味蕾经济|酿酒概念,,,,,,,,,,,,
000597,化学制药,东北振兴|流感|辅助生殖|创新药|CAR-T细胞疗法|维生素,,,,,,,,,,,,
000598,水务,一带一路|地下管网|节能环保|西部大开发|央国企改革|垃圾分类|PPP模式,,,,,,,,,,,,
000599,橡胶制品,央国企改革|军工|华为概念|并购重组概念|雄安新区|石墨烯,,,,,,,,,,,,
000600,电力,氢能源|央国企改革|核能核电|水利建设|绿色电力|风能|光伏概念|京津冀|雄安新区|碳交易,,,,,,,,,,,,
000601,电力,绿色电力|生物质能发电|水利建设|央国企改革|减速器|光伏概念|新能源车|生态农业|充电桩,,,,,,,,,,,,
000603,基本金属,小金属概念|黄金概念,,,,,,,,,,,,
000605,水务,雄安新区|京津冀|PPP模式|节能环保|微盘股|央国企改革|REITs概念|养老概念,,,,,,,,,,,,
000607,营销服务,知识产权|社区团购|职业教育|在线教育|抖音概念(字节概念)|央国企改革|数据确权|百度概念|托育服务,,,,,,,,,,,,
000608,房地产开发,算力概念|西部大开发|租售同权,,,,,,,,,,,,
000609,房地产开发,创投|互联网金融|半导体概念|北交所概念,,,,,,,,,,,,
000610,休闲服务,文娱消费|创投|社区团购|旅游酒店|一带一路|旅游概念|西部大开发|央国企改革,,,,,,,,,,,,
000612,基本金属,稀土永磁|并购重组概念,,,,,,,,,,,,
000615,医疗服务,新材料|医美概念|新消费|参股券商|湖北自贸|参股银行|毛发医疗,,,,,,,,,,,,
000617,非银行金融,创投|参股银行|央国企改革|跨境支付|数字货币|可控核聚变|西部大开发|参股保险|一带一路,,,,,,,,,,,,
000619,其他建材,央国企改革|装配建筑|一带一路|微盘股,,,,,,,,,,,,
000620,房地产开发,土地流转|京津冀|旅游概念|海南自贸|参股银行|存储芯片|短剧互动游戏,,,,,,,,,,,,
000623,中药生产,流感|东北振兴|医疗器械概念|维生素|中药概念|农业种植|参股券商|特色药|病原体防治|独家药品,,,,,,,,,,,,
000625,汽车,燃料电池概念|电池技术|智能驾驶|华为概念|西部大开发|参股券商|百度概念|汽车整车|元宇宙概念|车联网(车路云)|独角兽|氢能源|央国企改革|人工智能|新能源车|成渝特区|锂电池概念|飞行汽车(eVTOL)|华为汽车|固态电池|人形机器人,,,,,,,,,,,,
000626,贸易,跨境电商|农业种植|长江三角|生态农业|参股银行,,,,,,,,,,,,
000628,建筑施工,建筑节能|国产芯片|工程建设|成渝特区|西部大开发|虚拟电厂|央国企改革|智慧城市|PPP模式|参股期货,,,,,,,,,,,,
000629,稀有金属,成渝特区|央国企改革|钛白粉概念|西部大开发|稀缺资源|参股银行|钒电池|电池技术|小金属概念|储能概念,,,,,,,,,,,,
000630,基本金属,稀缺资源|通信技术|锂电池概念|5G概念|黄金概念|工业互联网|央国企改革|新材料|电池技术,,,,,,,,,,,,
000631,电力,风能|绿色电力,,,,,,,,,,,,
000632,综合,创投|贬值受益|跨境电商|央国企改革,,,,,,,,,,,,
000633,金属非金属新材料,微盘股|西部大开发|核能核电|新材料,,,,,,,,,,,,
000636,电子元件,超级电容|机器人概念|虚拟机器人|5G概念|AI眼镜|央国企改革|商业航天|华为概念|锂电池概念|MLCC|通信技术|被动元件概念|高压快充,,,,,,,,,,,,
000637,石油天然气,央国企改革|微盘股,,,,,,,,,,,,
000639,食品,新零售|长寿药|体育产业|跨境电商,,,,,,,,,,,,
000650,中药生产,医疗器械概念|区块链|生物疫苗|互联网医疗|婴童概念|化妆品概念|流感|AI眼镜|脑机接口|病原体防治|病毒防治|肝炎概念|独家药品|中药概念|创新药,,,,,,,,,,,,
000651,白色家电,光伏概念|锂电池概念|电池技术|粤港自贸|工业母机|特斯拉概念|储能概念|国产芯片|液冷服务器|新能源车|净水概念|机器人概念|新零售|职业教育|空气能热泵|超级品牌|智能家居,,,,,,,,,,,,
000652,环保,化债(AMC)概念|PPP模式|垃圾分类|创投|碳交易|生物质能发电|绿色电力|央国企改革|参股券商|节能环保|滨海新区|IPO受益|动力电池回收,,,,,,,,,,,,
000655,铁矿石,稀缺资源|央国企改革|钒电池|电池技术,,,,,,,,,,,,
000656,房地产开发,电子竞技|成渝特区|婴童概念,,,,,,,,,,,,
000657,稀有金属,PCB|可控核聚变|创投|医疗器械概念|新材料|海南自贸|央国企改革|工业母机|小金属概念,,,,,,,,,,,,
000659,造纸印刷,包装材料|粤港自贸,,,,,,,,,,,,
000661,生物医药,AI智能体|辅助生殖|病毒防治|单抗概念|中药概念|生物疫苗|病原体防治|东北振兴|AI制药（医疗）|流感|创新药|央国企改革,,,,,,,,,,,,
000663,林业,央国企改革|碳交易|养老概念|参股银行|土地流转|微盘股,,,,,,,,,,,,
000665,广播电视,彩票概念|央国企改革|5G概念|元宇宙概念|华为概念|超清视频|算力概念|智慧城市|通信技术|虚拟现实,,,,,,,,,,,,
000668,房地产开发,电商概念|网红经济,,,,,,,,,,,,
000669,燃气,燃料电池概念|油气资源|天然气,,,,,,,,,,,,
000670,半导体,国产芯片|虚拟现实|消费电子概念|军民融合|小米概念|半导体概念|智能穿戴|存储芯片,,,,,,,,,,,,
000672,水泥,光伏概念|储能概念|国产芯片|一带一路|西部大开发,,,,,,,,,,,,
000676,营销服务,互联网金融|虚拟现实|ChatGPT概念|电商概念|数字货币|Web3.0|鸿蒙概念|网络游戏|华为概念|阿里概念|抖音概念(字节概念)|区块链|人工智能|互联网服务|元宇宙概念|网红经济|创投|拼多多概念|独角兽|消费电子概念,,,,,,,,,,,,
000677,合成纤维及树脂,低空经济,,,,,,,,,,,,
000678,汽车,湖北自贸|减速器|央国企改革|新能源车|军工,,,,,,,,,,,,
000679,零售,新零售|东北振兴|微盘股,,,,,,,,,,,,
000680,专用设备,乡村振兴|央国企改革|工程机械概念|一带一路|雅下水电概念|垃圾分类,,,,,,,,,,,,
